open,close,low,high,avgGas,timestamp
72.33,55.56,45.0,112.63,82341.57718833334,2022-04-27T18:00:14.785Z
47.62,80.59,41.5,734.93,74809.73362666667,2022-04-27T19:00:18.016Z
73.09,59.74,33.66,91.88,97557.40959666666,2022-04-27T20:00:21.059Z
25.22,73.72,24.85,94.79,94548.31515666663,2022-04-27T21:00:24.624Z
41.49,34.52,27.28,81.42,85870.97482333331,2022-04-27T22:00:29.105Z
39.94,44.78,24.42,60.73,95238.939175,2022-04-27T23:00:35.144Z
40.28,32.24,27.0,63.68,98944.81046833337,2022-04-28T00:00:38.021Z
63.16,43.13,33.56,81.29,113022.448385,2022-04-28T01:00:40.415Z
41.85,65.24,24.29,81.94,86994.26497333334,2022-04-28T02:00:42.873Z
42.5,1111.0,32.32,1111.0,79495.43482666668,2022-04-28T03:00:45.043Z
38.18,49.17,30.19,86.85,88338.83479333334,2022-04-28T04:00:47.709Z
27.12,43.18,23.65,56.72,98204.67519833332,2022-04-28T05:00:50.393Z
33.59,26.88,23.58,47.57,90117.27728166664,2022-04-28T06:00:52.836Z
36.24,34.53,22.39,44.36,93593.96009666663,2022-04-28T07:00:55.425Z
34.39,32.8,22.6,51.25,89402.17675932203,2022-04-28T08:00:57.497Z
36.45,38.48,21.7,44.13,88850.00661833333,2022-04-28T09:00:05.390Z
30.25,41.07,23.77,56.01,89578.17555500001,2022-04-28T10:00:10.958Z
48.84,27.49,22.5,52.9,93693.98313833332,2022-04-28T11:00:20.825Z
39.98,50.44,25.33,63.0,91607.6355,2022-04-28T12:00:23.764Z
47.46,42.61,26.37,83.39,89576.83023833335,2022-04-28T13:00:28.881Z
53.79,45.2,40.89,98.59,78137.80075833334,2022-04-28T14:00:32.181Z
66.48,58.24,40.0,118.09,78047.30064333334,2022-04-28T15:00:35.112Z
106.21,67.67,48.6,134.0,74825.37167833335,2022-04-28T16:00:38.365Z
62.36,88.09,34.59,127.53,81558.75129833333,2022-04-28T17:00:53.541Z
40.11,55.67,30.7,92.04,84459.87192033899,2022-04-28T18:00:56.992Z
41.07,36.13,30.38,94.71,83371.16360833337,2022-04-28T19:00:00.310Z
64.06,33.05,31.96,77.25,85557.08617999997,2022-04-28T20:00:03.986Z
62.2,72.48,39.63,89.04,84634.32107166667,2022-04-28T21:00:07.013Z
35.33,43.91,30.0,65.11,87235.12582166669,2022-04-28T22:00:09.731Z
42.41,33.01,27.84,57.61,94412.13914999996,2022-04-28T23:00:13.426Z
57.52,32.26,27.86,241.27,91409.05504499996,2022-04-29T00:00:16.113Z
83.67,47.5,25.0,90.23,92630.53927166662,2022-04-29T01:00:18.894Z
51.42,108.55,37.0,169.02,84051.56763666666,2022-04-29T02:00:22.042Z
44.46,51.18,30.0,87.03,76840.85982,2022-04-29T03:00:24.425Z
43.72,40.24,26.44,63.48,85111.29646166666,2022-04-29T04:00:27.660Z
40.78,37.62,24.0,55.11,95234.51465833333,2022-04-29T05:00:30.298Z
36.62,47.61,23.81,64.05,92355.22935000002,2022-04-29T06:00:34.833Z
36.74,42.48,24.92,55.25,89280.02413833332,2022-04-29T07:00:39.420Z
36.95,34.45,23.0,58.35,78298.38093333336,2022-04-29T08:00:41.618Z
37.96,28.9,25.27,52.45,85845.49616833332,2022-04-29T09:00:43.904Z
42.05,31.55,24.44,54.42,89137.96878000002,2022-04-29T10:00:48.673Z
28.28,42.39,25.39,63.65,93516.78412166664,2022-04-29T11:00:51.765Z
51.65,25.99,24.42,54.21,86022.1885338983,2022-04-29T12:00:54.460Z
43.92,43.37,26.51,56.72,81994.51893499996,2022-04-29T13:00:03.892Z
