open,close,low,high,avgGas,timestamp
6.4,11.28,4.0,14.27,86619.93778103447,2022-09-14T03:00:46.943Z
8.0,5.87,4.1,19.37,94566.55837333329,2022-09-14T04:00:34.043Z
9.81,9.63,6.18,31.38,106572.852605,2022-09-14T05:00:35.602Z
13.35,9.16,4.8,13.69,96101.67383000003,2022-09-14T06:00:37.122Z
6.82,10.03,6.0,23.66,218105.837175,2022-09-14T07:00:38.590Z
6.54,10.11,4.3,14.8,76894.02202,2022-09-14T08:00:40.389Z
12.69,6.12,5.96,16.1,73858.35407499998,2022-09-14T09:00:41.884Z
6.08,8.99,4.0,12.3,82371.47304833333,2022-09-14T10:00:43.492Z
6.44,6.35,3.5,9.19,103492.37790166664,2022-09-14T11:00:45.201Z
24.29,7.94,5.63,26.94,83018.5628483333,2022-09-14T12:00:46.736Z
28.03,18.86,11.76,37.33,81806.22556166667,2022-09-14T13:00:49.053Z
19.22,27.54,8.92,31.39,93819.32337540983,2022-09-14T14:00:26.757Z
15.18,17.42,8.64,27.18,88439.99108666668,2022-09-14T15:00:13.014Z
27.47,19.13,11.66,33.63,80437.35411166669,2022-09-14T16:00:15.560Z
11.18,28.56,10.17,33.01,83742.01146065572,2022-09-14T17:00:17.277Z
19.87,12.95,11.14,51.26,84548.40988852458,2022-09-14T18:00:23.204Z
22.33,20.02,13.18,31.89,81526.75886,2022-09-14T19:00:32.539Z
48.49,16.18,8.0,50.47,96898.19238166668,2022-09-14T20:00:34.261Z
14.41,35.97,8.1,48.22,89054.87322166664,2022-09-14T21:00:35.816Z
16.44,14.68,6.94,16.85,84640.42124833332,2022-09-14T22:00:37.377Z
14.95,11.42,5.65,25.81,88627.624685,2022-09-14T23:00:38.995Z
11.64,17.56,5.0,31.0,97766.32297333333,2022-09-15T00:00:40.483Z
12.11,10.99,6.28,26.47,84469.05801666665,2022-09-15T01:00:42.476Z
6.64,12.58,6.35,15.93,83437.98825499999,2022-09-15T02:00:43.970Z
15.06,10.58,10.07,42.66,82583.66640862067,2022-09-15T03:00:46.138Z
6.0,14.74,6.0,21.9,94516.74192333332,2022-09-15T04:00:25.899Z
10.04,7.58,6.56,16.57,113296.32660500005,2022-09-15T05:00:27.981Z
60.95,6.0,5.5,120.42,202710.57212166663,2022-09-15T06:00:30.174Z
25.81,43.76,17.24,79.65,99423.07389333329,2022-09-15T07:00:31.826Z
11.99,26.14,10.74,37.7,93679.58945999999,2022-09-15T08:00:33.261Z
11.82,12.47,8.86,14.98,81409.91620499999,2022-09-15T09:00:34.559Z
8.4,13.48,7.92,14.62,84298.115115,2022-09-15T10:00:36.169Z
9.35,9.21,7.0,180.0,78963.04350833334,2022-09-15T11:00:37.624Z
9.0,10.33,7.66,162.05,80483.96331333331,2022-09-15T12:00:39.793Z
15.16,9.73,7.0,49.5,78623.09456499999,2022-09-15T13:00:41.417Z
43.99,16.0,10.0,131.37,84739.76524000001,2022-09-15T14:00:43.066Z
19.86,48.12,18.22,775.83,81801.92760000002,2022-09-15T15:00:44.543Z
19.29,21.37,15.0,22.8,84382.32469,2022-09-15T16:00:46.036Z
27.68,22.02,16.51,280.0,77061.55205833334,2022-09-15T17:00:47.761Z
13.0,22.9,10.0,98.95,82963.7528283333,2022-09-15T18:00:49.295Z
11.75,12.47,10.12,135.78,78389.15204333332,2022-09-15T19:00:50.894Z
10.09,11.79,9.0,43.0,82910.23701999999,2022-09-15T20:00:52.378Z
15.83,11.93,6.71,49.5,113111.33939166667,2022-09-15T21:00:53.962Z
11.93,11.4,6.0,61.82,97504.17961833334,2022-09-15T22:00:55.526Z
9.0,11.0,6.0,132.53,91108.2763166667,2022-09-15T23:00:57.114Z
7.2,11.21,5.0,108.78,85857.0630966667,2022-09-16T00:00:58.643Z
7.45,7.41,5.39,39.64,108453.47007833332,2022-09-16T01:00:57.742Z
8.42,6.71,5.0,116.61,88604.21060508475,2022-09-16T02:00:59.392Z
9.43,6.07,5.0,79.8,91893.61541355935,2022-09-16T03:00:01.299Z
5.0,21.0,4.5,58.57,88841.21624166667,2022-09-16T04:00:35.689Z
5.04,6.47,4.0,30.0,86423.74563000002,2022-09-16T05:00:37.025Z
6.71,5.64,4.0,73.0,86280.947955,2022-09-16T06:00:38.285Z
6.86,6.85,4.1,45.0,80711.01977833334,2022-09-16T07:00:39.663Z
12.66,8.1,4.77,84.46,74353.34813333332,2022-09-16T08:00:41.300Z
6.78,12.68,5.0,30.0,76593.16680333331,2022-09-16T09:00:43.027Z
